8.0,2019-10-31 23:19:35
1.0,2019-10-31 23:19:46
0.0,2019-10-31 23:19:56
3.0,2019-10-31 23:20:05
11.0,2019-10-31 23:20:16
11.0,2019-10-31 23:20:27
2.0,2019-10-31 23:20:37
2.0,2019-10-31 23:20:48
7.0,2019-10-31 23:20:59
0.0,2019-10-31 23:21:10
1.0,2019-10-31 23:21:21
19.0,2019-10-31 23:21:35
6.0,2019-10-31 23:21:46
0.0,2019-10-31 23:21:57
1.0,2019-10-31 23:22:07
2.0,2019-10-31 23:22:13
1.0,2019-10-31 23:22:24
18.0,2019-10-31 23:22:34
5.0,2019-10-31 23:22:45
2.0,2019-10-31 23:22:56
1.0,2019-10-31 23:23:07
2.0,2019-10-31 23:23:21
5.0,2019-10-31 23:23:31
4.0,2019-10-31 23:23:38
10.0,2019-10-31 23:23:42
4.0,2019-10-31 23:23:52
7.0,2019-10-31 23:24:13
10.0,2019-10-31 23:24:26
11.0,2019-10-31 23:24:35
58.0,2019-10-31 23:24:46
21.0,2019-10-31 23:24:55
0.0,2019-10-31 23:25:04
2.0,2019-10-31 23:25:15
1.0,2019-10-31 23:25:25
4.0,2019-10-31 23:25:34
4.0,2019-10-31 23:25:45
12.0,2019-10-31 23:25:55
2.0,2019-10-31 23:26:06
2.0,2019-10-31 23:26:17
12.0,2019-10-31 23:26:27
2.0,2019-10-31 23:26:35
13.0,2019-10-31 23:26:46
3.0,2019-10-31 23:26:56
7.0,2019-10-31 23:27:02
1.0,2019-10-31 23:27:09
2.0,2019-10-31 23:27:28
3.0,2019-10-31 23:27:39
0.0,2019-10-31 23:28:01
18.0,2019-10-31 23:28:03
7.0,2019-10-31 23:28:12
9.0,2019-10-31 23:28:23
4.0,2019-10-31 23:28:34
2.0,2019-10-31 23:28:54
4.0,2019-10-31 23:29:04
2.0,2019-10-31 23:29:18
45.0,2019-10-31 23:29:28
5.0,2019-10-31 23:29:39
5.0,2019-10-31 23:29:50
0.0,2019-10-31 23:30:01
23.0,2019-10-31 23:30:12
6.0,2019-10-31 23:30:28
28.0,2019-10-31 23:30:30
5.0,2019-10-31 23:30:50
8.0,2019-10-31 23:31:00
4.0,2019-10-31 23:31:10
11.0,2019-10-31 23:31:21
9.0,2019-10-31 23:31:32
13.0,2019-10-31 23:31:42
2.0,2019-10-31 23:31:51
39.0,2019-10-31 23:32:05
2.0,2019-10-31 23:32:16
2.0,2019-10-31 23:32:26
1.0,2019-10-31 23:32:37
3.0,2019-10-31 23:32:48
1.0,2019-10-31 23:32:59
40.0,2019-10-31 23:33:01
0.0,2019-10-31 23:33:18
0.0,2019-10-31 23:33:29
1.0,2019-10-31 23:33:39
10.0,2019-10-31 23:33:50
6.0,2019-10-31 23:34:00
6.0,2019-10-31 23:34:10
4.0,2019-10-31 23:34:21
7.0,2019-10-31 23:34:32
4.0,2019-10-31 23:34:43
2.0,2019-10-31 23:34:54
0.0,2019-10-31 23:35:05
7.0,2019-10-31 23:35:16
1.0,2019-10-31 23:35:26
10.0,2019-10-31 23:35:37
1.0,2019-10-31 23:35:41
5.0,2019-10-31 23:35:52
13.0,2019-10-31 23:36:02
6.0,2019-10-31 23:36:14
2.0,2019-10-31 23:36:23
6.0,2019-10-31 23:36:33
18.0,2019-10-31 23:36:45
9.0,2019-10-31 23:36:56
5.0,2019-10-31 23:37:07
19.0,2019-10-31 23:37:20
22.0,2019-10-31 23:37:21
3.0,2019-10-31 23:37:43
13.0,2019-10-31 23:37:46
4.0,2019-10-31 23:37:56
19.0,2019-10-31 23:38:03
4.0,2019-10-31 23:38:14
5.0,2019-10-31 23:38:25
0.0,2019-10-31 23:38:36
2.0,2019-10-31 23:38:45
5.0,2019-10-31 23:38:52
3.0,2019-10-31 23:39:02
1.0,2019-10-31 23:39:19
13.0,2019-10-31 23:39:29
64.0,2019-10-31 23:39:31
0.0,2019-10-31 23:39:45
3.0,2019-10-31 23:39:57
19.0,2019-10-31 23:40:05
2.0,2019-10-31 23:40:15
6.0,2019-10-31 23:40:26
4.0,2019-10-31 23:40:37
6.0,2019-10-31 23:40:48
0.0,2019-10-31 23:40:59
19.0,2019-10-31 23:41:07
1.0,2019-10-31 23:41:18
3.0,2019-10-31 23:41:28
5.0,2019-10-31 23:41:30
9.0,2019-10-31 23:41:39
4.0,2019-10-31 23:41:49
3.0,2019-10-31 23:42:09
2.0,2019-10-31 23:42:17
2.0,2019-10-31 23:42:28
3.0,2019-10-31 23:42:35
4.0,2019-10-31 23:42:46
10.0,2019-10-31 23:42:57
2.0,2019-10-31 23:43:08
1.0,2019-10-31 23:43:18
13.0,2019-10-31 23:43:20
3.0,2019-10-31 23:43:35
2.0,2019-10-31 23:43:45
6.0,2019-10-31 23:43:51
5.0,2019-10-31 23:44:07
3.0,2019-10-31 23:44:18
4.0,2019-10-31 23:44:26
2.0,2019-10-31 23:44:37
7.0,2019-10-31 23:44:48
3.0,2019-10-31 23:44:59
3.0,2019-10-31 23:45:18
6.0,2019-10-31 23:45:24
20.0,2019-10-31 23:45:32
2.0,2019-10-31 23:45:43
1.0,2019-10-31 23:46:02
17.0,2019-10-31 23:46:04
4.0,2019-10-31 23:46:14
1.0,2019-10-31 23:46:27
18.0,2019-10-31 23:46:32
7.0,2019-10-31 23:46:50
5.0,2019-10-31 23:47:01
4.0,2019-10-31 23:47:11
12.0,2019-10-31 23:47:20
0.0,2019-10-31 23:47:40
6.0,2019-10-31 23:47:45
9.0,2019-10-31 23:47:53
3.0,2019-10-31 23:48:05
3.0,2019-10-31 23:48:15
6.0,2019-10-31 23:48:25
2.0,2019-10-31 23:48:36
15.0,2019-10-31 23:48:39
14.0,2019-10-31 23:48:49
4.0,2019-10-31 23:49:07
18.0,2019-10-31 23:49:10
1.0,2019-10-31 23:49:21
11.0,2019-10-31 23:49:32
14.0,2019-10-31 23:49:45
100.0,2019-10-31 23:49:55
5.0,2019-10-31 23:50:04
26.0,2019-10-31 23:50:10
5.0,2019-10-31 23:50:20
0.0,2019-10-31 23:50:32
14.0,2019-10-31 23:50:41
3.0,2019-10-31 23:50:55
3.0,2019-10-31 23:51:03
9.0,2019-10-31 23:51:14
4.0,2019-10-31 23:51:25
6.0,2019-10-31 23:51:36
2.0,2019-10-31 23:51:46
15.0,2019-10-31 23:51:56
8.0,2019-10-31 23:52:06
1.0,2019-10-31 23:52:16
8.0,2019-10-31 23:52:33
14.0,2019-10-31 23:52:43
2.0,2019-10-31 23:52:53
13.0,2019-10-31 23:53:01
2.0,2019-10-31 23:53:12
1.0,2019-10-31 23:53:26
15.0,2019-10-31 23:53:37
10.0,2019-10-31 23:53:48
5.0,2019-10-31 23:54:10
17.0,2019-10-31 23:54:21
6.0,2019-10-31 23:54:30
6.0,2019-10-31 23:54:41
3.0,2019-10-31 23:54:52
0.0,2019-10-31 23:55:03
4.0,2019-10-31 23:55:14
3.0,2019-10-31 23:55:24
5.0,2019-10-31 23:55:35
4.0,2019-10-31 23:55:46
13.0,2019-10-31 23:55:57
3.0,2019-10-31 23:56:05
12.0,2019-10-31 23:56:15
8.0,2019-10-31 23:56:23
5.0,2019-10-31 23:56:33
